Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-05-11,20,10.1101/2025.03.26.25324720,3,genetic and genomic medicine,Transdiagnostic Polygenic Risk Models for Psychopathology and Comorbidity: Cross-Ancestry Analysis in the All of Us Research Program,"Lee, P. H.; Jung, J.-Y.; Sanzo, B. T.; Duan, R. H.; Ge, T.; 23andMe Research Team,  ; Waldman, I.; Smoller, J. W.; Schwaba, T.; Tucker-Drob, E. M.; Grotzinger, A. D."
2026-05-11,20,10.1101/2025.10.14.25337322,2,infectious diseases,Machine Learning-based Morphological Pattern Analysis of Dried Deposits formed by E. coli-laden Sessile Urine Droplets for Point-of-Care Diagnostics,"Ganesh, M. A.; M, S.; Poopady, J. J.; Rasheed, A.; Roy, D.; Agharkar, A. N.; Vaikuntanathan, V.; Parmar, K.; Chakravortty, D.; Basu, S."
2026-05-11,20,10.64898/2026.04.27.26351743,2,genetic and genomic medicine,A Pleiotropic Map of Brain Imaging Genetics Reveals Biologically Distinct Latent Endophenotypes,"Bhattacharyya, U.; John, J.; Yuanxin, Z.; Preuss, M.; Ge, T.; Lencz, T.; Lam, M."
2026-05-11,20,10.64898/2026.01.07.25342310,2,infectious diseases,The Decline in Influenza Antibody Titers and Modifiers of Vaccine Immunity from over Ten Years of Serological Data,"Fenoy, L. E.; Plant, E. P.; Xie, H.; Ye, Z.; Tagade, A.; Rumbelow, J.; Einav, T."
2026-05-12,20,10.64898/2026.02.06.26345763,3,pharmacology and therapeutics,Concurrent Gabapentin and Dihydropyridine Calcium Channel Blocker Use and Risk of Incident Dementia: An Active-Comparator Cohort Study,"Green, J. W.; Gohel, S.; Tafuto, B.; Fonseca, L. M.; Beeri, M. S.; Simon, S. S.; Parrott, J. S.; Ljubic, B.; Schulewski, M."
2026-05-12,20,10.64898/2026.05.08.26352223,1,genetic and genomic medicine,Huntingtin CAG repeat is a continuous modifier of brain structure and health vulnerability,"Cullen, H.; Clarkson, C.; Nascimento, H.; Zanovello, M.; Long, J.; Caulfield, M.; Simpson, M.; Tabrizi, S.; Tucci, A."
2026-05-12,20,10.64898/2026.05.05.26352416,1,genetic and genomic medicine,"Biallelic CYB5A disruptions in 46,XY Disorder of Sex Development: Identification and Characterization of a Novel Deep Intronic Variant","Moradifard, S.; LE, T. N. U.; Ha, N. T.; Dung, V. C.; Thao, B. P.; Harley, V. R."
2026-05-12,20,10.64898/2026.05.08.26352674,1,genetic and genomic medicine,Breast cancer is linked to changes in the urinary extracellular vesicle proteome,"Laziri, N.; Zainurin, N. A. A.; Bambarandhage, A. U. K. H.; Fatudimu, O. S.; Gate, T.; Tench, H.; Fu, D.; Zhang, X.; Beckmann, M.; Phillips, H.; Pennick, M.; Morphew, R. M.; Mur, L. A."
2026-05-12,20,10.64898/2026.05.08.26350964,1,genetic and genomic medicine,"Systematic common and rare variant association testing in 392,030 whole genomes in All of Us","Lu, W.; Carroll, R. J.; Solomonson, M.; Guez, J.; He, M. K.; Marten, D. J.; Martinez-Carrosco, A.; Wang, Y.; Dowd, C. S.; Kanai, M.; Gorissen, B. L.; Kouame, A. J. S.; Brogan, J.; Waxse, B. J.; Samarakoon, R.; Cook, J. A.; Qian, J.; Zhou, Y.; Choi, K. W.; Basford, M.; Lyons, M.; Linder, J. E.; Stewart, S.; Gupta, N.; Schultz, P.; Goldstein, D.; Llanwarne, C.; Goldstein, J. I.; Higham, E. G. C.; King, D. C.; Palmer, D. S.; Elenbaas, J. S.; Rohlicek, G. K.; He, Q.; Goodrich, J. K.; The All of Us Research ProgramGenomics Investigators,  ; Smoller, J. W.; Lichtenstein, L.; Gabriel, S. B.; Martin, "
2026-05-12,20,10.64898/2026.05.07.26352676,1,infectious diseases,Detection of a Vibrio paracholerae Case in a Diarrheal Disease Outbreak in Costa Rica,"Cordero-Laurent, E.; Calderon-Osorno, M.; Godinez-Rojas, A.; Blanco-Arguedas, J.; Barquero-Urena, G.; Umana-Valverde, E.; Oropeza-Barrios, G.; Chanto-Chacon, G.; Lee, C. C.; Duarte-Martinez, F. J."
